date,expiration,option_type,S,strike,bid,ask,market_price,volume,open_interest,days_to_expiration,T,moneyness,moneyness_category,sigma,r,market_price_over_K
2023-08-25,2023-08-29,CALL,440.79,428.0,12.89,13.1,12.995,11,11,4,0.010958904109589,1.0298831775700934,ATM,17.2,0.0556,0.03036214953271028
2023-08-25,2023-08-29,CALL,440.79,427.0,13.87,14.09,13.98,4,42,4,0.010958904109589,1.032295081967213,ITM,17.2,0.0556,0.0327400468384075
2023-08-25,2023-08-29,CALL,440.79,426.0,14.86,15.08,14.97,2,4,4,0.010958904109589,1.0347183098591548,ITM,17.2,0.0556,0.03514084507042254
2023-08-25,2023-08-29,CALL,440.79,425.0,15.86,16.07,15.965,8,10,4,0.010958904109589,1.0371529411764706,ITM,17.2,0.0556,0.03756470588235294
2023-08-25,2023-08-29,CALL,440.79,421.0,19.84,20.06,19.95,51,1,4,0.010958904109589,1.0470071258907363,ITM,17.2,0.0556,0.04738717339667458
2023-08-25,2023-08-29,CALL,440.79,420.0,20.84,21.06,20.95,1,110,4,0.010958904109589,1.0495,ITM,17.2,0.0556,0.04988095238095238
2023-08-25,2023-08-29,CALL,440.79,415.0,25.83,26.05,25.94,1,3,4,0.010958904109589,1.0621445783132528,ITM,17.2,0.0556,0.06250602409638555
2023-08-25,2023-08-29,CALL,440.79,429.0,11.91,12.12,12.015,2,26,4,0.010958904109589,1.0274825174825173,ATM,17.2,0.0556,0.028006993006993008
2023-08-25,2023-09-01,CALL,440.79,453.0,0.14,0.15,0.145,1117,5938,7,0.0191780821917808,0.973046357615894,ATM,17.2,0.0556,0.00032008830022075055
2023-08-25,2023-08-28,CALL,440.79,426.0,14.77,14.99,14.88,75,36,3,0.0082191780821917,1.0347183098591548,ITM,17.2,0.0556,0.03492957746478873
2023-08-25,2023-08-28,CALL,440.79,424.0,16.77,16.98,16.875,41,11,3,0.0082191780821917,1.0395990566037736,ITM,17.2,0.0556,0.039799528301886794
2023-08-25,2023-08-30,CALL,440.79,446.0,0.61,0.62,0.615,3092,1662,5,0.0136986301369863,0.988318385650224,ATM,17.2,0.0556,0.0013789237668161436
2023-08-25,2023-08-30,CALL,440.79,445.0,0.85,0.86,0.855,6283,2146,5,0.0136986301369863,0.9905393258426964,ATM,17.2,0.0556,0.0019213483146067415
2023-08-25,2023-08-30,CALL,440.79,444.0,1.15,1.16,1.1549999999999998,5792,1857,5,0.0136986301369863,0.9927702702702702,ATM,17.2,0.0556,0.002601351351351351
2023-08-25,2023-08-30,CALL,440.79,443.0,1.51,1.52,1.515,3435,3984,5,0.0136986301369863,0.9950112866817156,ATM,17.2,0.0556,0.003419864559819413
2023-08-25,2023-08-30,CALL,440.79,447.0,0.43,0.44,0.435,2031,2443,5,0.0136986301369863,0.9861073825503356,ATM,17.2,0.0556,0.0009731543624161074
2023-08-25,2023-08-30,CALL,440.79,441.0,2.44,2.46,2.45,8354,2214,5,0.0136986301369863,0.9995238095238096,ATM,17.2,0.0556,0.005555555555555556
2023-08-25,2023-08-30,CALL,440.79,440.0,3.01,3.02,3.015,13708,1922,5,0.0136986301369863,1.0017954545454544,ATM,17.2,0.0556,0.006852272727272728
2023-08-25,2023-08-30,CALL,440.79,439.0,3.63,3.65,3.64,8235,2683,5,0.0136986301369863,1.0040774487471524,ATM,17.2,0.0556,0.008291571753986333
2023-08-25,2023-08-30,CALL,440.79,438.0,4.3,4.34,4.32,7708,1890,5,0.0136986301369863,1.0063698630136986,ATM,17.2,0.0556,0.009863013698630138
2023-08-25,2023-08-30,CALL,440.79,442.0,1.94,1.96,1.95,7988,2703,5,0.0136986301369863,0.997262443438914,ATM,17.2,0.0556,0.004411764705882353
2023-08-25,2023-08-30,CALL,440.79,448.0,0.3,0.31,0.305,2384,3516,5,0.0136986301369863,0.98390625,ATM,17.2,0.0556,0.0006808035714285715
2023-08-25,2023-08-31,CALL,440.79,428.0,13.35,13.56,13.455,1,16,6,0.0164383561643835,1.0298831775700934,ATM,17.2,0.0556,0.03143691588785047
2023-08-25,2023-08-31,CALL,440.79,427.0,14.31,14.53,14.42,15,280,6,0.0164383561643835,1.032295081967213,ITM,17.2,0.0556,0.033770491803278686
2023-08-25,2023-08-31,CALL,440.79,426.0,15.28,15.5,15.39,40,161,6,0.0164383561643835,1.0347183098591548,ITM,17.2,0.0556,0.03612676056338028
2023-08-25,2023-08-31,CALL,440.79,425.0,16.26,16.48,16.37,602,10214,6,0.0164383561643835,1.0371529411764706,ITM,17.2,0.0556,0.03851764705882353
2023-08-25,2023-08-31,CALL,440.79,421.0,20.2,20.43,20.315,6,12,6,0.0164383561643835,1.0470071258907363,ITM,17.2,0.0556,0.048254156769596206
2023-08-25,2023-08-31,CALL,440.79,420.0,21.19,21.42,21.305,12,26,6,0.0164383561643835,1.0495,ITM,17.2,0.0556,0.05072619047619047
2023-08-25,2023-08-29,CALL,440.79,443.0,1.12,1.13,1.125,7008,2267,4,0.010958904109589,0.9950112866817156,ATM,17.2,0.0556,0.0025395033860045146
2023-08-25,2023-08-28,CALL,440.79,425.0,15.77,15.99,15.88,76,61,3,0.0082191780821917,1.0371529411764706,ITM,17.2,0.0556,0.037364705882352946
